1	anonymize_text	-0.302576, -3.179720, -0.484472
2	floor	2.656437, -2.784178, -1.399765
3	shoe	-0.831149, 1.231226, -1.365525
4	wall	-0.888861, -1.854326, 0.047886
5	wall	-3.319233, 3.423664, 0.060623
6	wall-cabinet	-0.665442, -2.516148, 0.628605
7	cabinet	8.884279, 4.311582, -1.167439
8	table	9.106798, 2.828107, -1.234074
9	camera	9.575216, 3.073411, -0.566895
10	shelf	6.036943, -5.668577, -0.473999
11	bin	0.743080, -0.633022, -1.083350
12	shelf	5.017117, -0.759880, -0.492170
13	tv-screen	9.117422, 4.158795, -0.068539
14	indoor-plant	-3.022285, 4.947696, 0.833785
15	countertop	2.464023, -0.612278, -0.529486
16	blinds	5.977456, 1.881572, -0.110123
17	shelf	-0.830899, 1.036758, 0.075606
18	tv-stand	0.542999, 2.028873, -0.003608
19	indoor-plant	5.374058, -0.388722, -0.055987
20	blinds	6.126559, -1.112314, -0.092706
21	door	1.181520, 1.058549, -0.242452
22	blinds	6.138067, -2.528448, 0.357187
23	wall	6.106164, -2.706492, 0.070986
24	shoe	-0.796753, 1.077444, -1.206167
25	chair	4.955564, 0.478258, -1.072486
26	lamp	0.300325, 2.627952, 1.253520
27	ceiling	0.092715, 2.388498, 1.124298
28	wall	-1.263837, 0.130324, 1.428531
29	wall	-1.840749, 2.357278, 0.648164
30	cup	-0.036539, -1.567203, -0.456454
31	pillar	0.326494, -0.531601, 0.060758
32	book	-0.370648, -4.990610, -0.355195
33	mat	0.274860, 2.879604, -1.472671
34	bike	0.080230, -3.262299, -0.981431
35	switch	1.029912, 3.291376, -0.304987
36	handrail	5.283387, 1.599915, -0.347745
37	panel	0.526578, 1.336839, -0.278433
38	cup	0.779962, -3.747264, -0.512256
39	bike	6.221485, -2.368750, -0.964257
40	bottle	1.924650, -0.856796, -0.399417
41	handrail	2.801154, 2.166400, 0.048173
42	book	-0.365818, -5.126924, -0.033294
43	chopping-board	3.380499, -1.257661, -1.263204
44	pot	3.640235, -1.046510, -1.242215
45	pot	3.147808, 2.023353, -1.215036
46	basket	7.421873, 2.887668, -0.584317
47	undefined	3.251643, -1.452980, -1.193958
48	pillar	6.609624, -8.500082, -1.129231
49	book	6.817666, 5.140982, -0.580600
50	undefined	3.201945, 2.204453, -0.833788
51	small-appliance	1.353340, -0.791007, -0.390390
52	bowl	3.050030, 2.402338, -0.873477
53	refrigerator	4.396769, -0.632152, -0.556377
54	basket	6.723731, -4.490795, -0.628125
55	cushion	4.302479, 4.129612, -0.896032
56	table	3.149877, -1.544700, -1.016653
57	wall	2.027951, -0.421485, 0.065596
58	vase	3.188338, -0.727869, 0.822515
59	undefined	3.043352, -3.856494, 0.209434
60	wall-plug	-3.215654, 5.803481, -1.060640
61	book	6.052249, -5.376973, -0.349100
62	chair	2.792765, -1.372818, -1.017432
63	box	-0.596618, -0.656087, -0.677241
64	table	6.416909, 3.915505, -1.071899
65	cabinet	2.424763, -0.769692, -1.025133
66	undefined	5.941222, 0.924287, -1.165060
67	chair	2.830417, 1.917867, -1.022095
68	wall-plug	5.930161, 1.057092, -1.021606
69	beanbag	8.807268, 5.175971, -1.139836
70	plate	2.699361, -2.278613, -0.477822
71	book	-0.485075, -4.941672, -0.062558
72	anonymize_text	1.113825, 1.167456, 0.064809
73	switch	6.037463, -0.228012, -0.442780
74	mat	2.452919, -0.288834, -1.454242
75	wall-plug	6.005558, 0.229831, -1.017938
76	pillar	1.866689, 5.481036, -0.088798
77	cushion	2.692319, 4.681983, -0.887439
78	blanket	4.838075, -0.476236, -1.016410
79	pillar	6.635524, -8.501585, 0.203435
80	anonymize_picture	-0.904173, -0.097678, 0.030795
81	umbrella	6.071251, -5.092788, -1.010515
82	handrail	-3.325833, 3.168775, 1.063938
83	undefined	-0.877218, -0.549666, 0.942417
84	basket	-0.415978, -5.022209, -0.601883
85	table	6.002534, -4.563589, -1.216580
86	chair	4.437742, 3.372863, -1.080363
87	wall	2.211155, -7.188569, 0.053038
88	wall	-3.504570, 0.434656, -0.111625
89	stair	2.998500, 1.718710, 0.047602
91	plant-stand	4.941109, 3.189042, -0.011293
92	wall	5.451476, 1.946464, -0.807835
93	camera	0.694587, 1.991393, 0.366563
94	undefined	2.420709, -7.742438, -0.647802
95	book	6.871142, -4.222337, -0.079296
96	blinds	6.131765, -4.393528, -0.097108
97	bowl	3.642094, -1.420316, 0.152739
98	book	6.177711, 5.372113, -0.077663
99	box	-0.785346, -0.374102, -0.803526
100	wall	1.167024, 1.527771, 0.060323
101	undefined	-1.633511, -0.646930, 0.549649
102	knife-block	1.174765, -0.781648, -0.405060
103	sofa	5.596449, -2.765110, -1.053810
104	cabinet	2.542320, -8.267469, -1.038323
105	door	5.303232, 1.324948, -0.381149
106	bowl	2.622371, -2.923961, 0.498493
107	handrail	-1.834111, 3.161472, 1.069270
108	blinds	6.231427, -7.411672, -0.110416
109	book	6.026905, -5.376125, 0.238699
110	book	6.769063, -4.780692, -1.308642
111	pot	2.949908, -1.985812, -1.203558
112	door	-3.530345, 0.214697, -0.133791
113	curtain	1.041682, 1.693012, -0.171092
114	cup	-0.495359, -3.289612, -0.507971
115	wall-plug	-0.880916, -2.232978, -0.425127
116	rug	6.979233, 3.542091, -1.444688
117	door	-0.444378, 2.874180, -0.420790
118	wall	-1.666374, -0.443493, -0.076778
119	cabinet	0.185937, -0.775841, -0.841173
120	book	6.339980, -5.698264, -1.266833
121	table	8.962111, 3.215859, -0.817286
122	panel	5.873349, -8.175563, -0.892298
123	switch	1.093298, 3.389087, -0.310037
124	book	6.415276, -5.415551, -0.635968
125	cushion	5.613071, -2.509426, -0.938882
126	pot	3.019634, 2.467522, -1.226232
127	beanbag	5.202184, 2.605153, -1.116886
128	anonymize_picture	0.968625, 1.992692, 0.141544
129	wall	-0.409995, 2.546644, -0.085104
130	tv-screen	0.687907, 2.010796, 0.071357
131	wall-plug	-0.815709, -3.448734, -0.422881
132	wall	9.173437, 4.030082, 0.062140
133	undefined	9.788265, -2.338690, -0.887225
134	cushion	5.476773, -3.316797, -0.956248
135	chopping-board	-0.829535, -1.746910, -0.410593
136	lamp	3.267078, -7.981111, -0.365836
137	rack	-0.853109, 1.025728, -1.167757
138	switch	1.211419, -0.282285, -0.285232
139	cup	1.158494, -1.177693, -0.486077
140	anonymize_picture	1.471735, -0.940343, -0.462089
141	cup	-0.325262, -1.614418, 0.144646
142	box	1.088987, -0.850635, -0.409796
143	bowl	1.173150, -3.174879, 0.126932
